,type,startphrase,ending1,ending2,ending3,ending4,label,bert_average_surprisal_prediction,bert_max_word_surprisal_prediction,bert_max_words_each_ending,gpt2_average_surprisal_prediction,gpt2_max_word_surprisal_prediction,gpt2_max_words_each_ending,t5_average_surprisal_prediction,t5_max_word_surprisal_prediction,t5_max_words_each_ending
471,o,"Bob is taking a math exam in the classroom, he",draws a fly.,wants to fly.,is disturbed by a fly.,chat with a fly.,3,3,2,"['fly', 'fly', 'fly', 'fly']",2,2,"[' fly', ' fly', ' disturbed', ' chat']",2,2,"['a', 'fly', 'a', 'a']"
472,r,The husband goes to work everyday while the wife is unemployed. The wife,stayed home to cook meals.,went to work.,supported the family with her salary.,enjoyed the health benefits of employment.,1,4,2,"['meals', 'went', 'salary', 'employment']",2,2,"[' stayed', ' went', ' supported', ' enjoyed']",2,2,"['stayed', 'went', 'supported', 'enjoyed']"
473,o,The husband was unemployed and didn't go to work. The husband,went to work.,stayed at home to cook meals.,supported the family with his salary.,enjoyed the health benefits of employment.,2,1,1,"['work', 'meals', 'salary', 'employment']",1,1,"[' went', ' cook', ' supported', ' enjoyed']",1,1,"['went', 'stayed', 'salary', 'employment']"
474,r,"The students are taking a math class, the teacher",talks about the history of Egoroff's theorem.,teaches them singing.,asks them to write an article about politics.,votes for Trump.,1,3,3,"['egoroffs', 'singing', 'politics', 'trump']",3,3,"['gor', ' singing', ' politics', ' votes']",3,3,"['Egoroffs', 'teaches', 'asks', 'Trump']"
475,r,"The students are taking a math class, their teacher",teaches them to swim.,asks them to write an article about politics.,talks about the story of Thomas Bayes.,regards Shakespeare one of the greatest mathematicians.,3,2,2,"['swim', 'politics', 'bayes', 'mathematicians']",2,2,"[' swim', ' politics', ' Bay', ' Shakespeare']",2,2,"['teaches', 'asks', 'Bayes', 'mathematicians']"
476,o,A robot vacuum can be used to clean the,tub.,sink.,floor.,Roomba.,3,3,3,"['tub', 'sink', 'floor', 'roomba']",3,3,"[' tub', ' sink', ' floor', ' Ro']",3,3,"['tub', 'sink', 'floor', 'Roomba']"
477,r,"The students are taking a math class, their teacher",regards Taylor Swift one of the greatest mathematicians.,asks them to write an article about politics.,talks about the story of Euclid.,teaches them to swim.,3,2,2,"['mathematicians', 'politics', 'euclid', 'swim']",2,2,"[' Taylor', ' politics', ' Eucl', ' swim']",2,2,"['mathematicians', 'asks', 'Euclid', 'teaches']"
478,o,A robot vacuum can be used to clean the floor,manually.,autonomously.,poorly.,aquatically.,2,1,1,"['manually', 'autonomously', 'poorly', 'aquatically']",2,1,"[' manually', ' autonom', ' poorly', ' aqu']",1,1,"['manually', 'autonomously', 'poorly', 'aquatically']"
479,o,A robot dish washer can be used to clean the,Gutters,Floor.,Plates.,Sink.,3,4,4,"['gutters', 'floor', 'plates', 'sink']",4,4,"[' Gut', ' Floor', ' Pl', ' S']",4,4,"['Gutters', 'Floor', 'Plates', 'Sink']"
480,p,A plant that makes green leaves is a,informant.,ground.,factory.,tree.,4,4,4,"['informant', 'ground', 'factory', 'tree']",3,4,"[' informant', ' ground', ' factory', ' tree']",4,4,"['informant', 'ground', 'factory', 'tree']"
481,p,A plant that makes green paint is a,tree.,ground.,factory.,informant.,3,1,1,"['tree', 'ground', 'factory', 'informant']",3,3,"[' tree', ' ground', ' factory', ' informant']",1,1,"['tree', 'ground', 'factory', 'informant']"
482,p,A plant that photosyntheses is a,informant.,tree.,ground.,factory.,2,2,2,"['informant', 'tree', 'ground', 'factory']",4,2,"[' informant', ' tree', ' ground', ' factory']",2,2,"['informant', 'tree', 'ground', 'factory']"
483,p,A bug that crawls is,an insect.,a virus.,a wire.,a glitch.,1,1,1,"['insect', 'virus', 'wire', 'glitch']",4,4,"[' insect', ' virus', ' wire', ' glitch']",1,1,"['insect', 'a', 'wire', 'a']"
484,o,"The students are taking a math class, some of them",play video games.,are asked to write articles about politics in class.,are absent-minded.,sing a song.,3,2,4,"['games', 'class', 'absentminded', 'song']",1,2,"[' play', ' asked', ' absent', ' sing']",1,1,"['play', 'politics', 'absentminded', 'a']"
485,p,A bug that makes you ill is,a wire.,an insect.,a glitch.,a virus.,4,4,4,"['wire', 'insect', 'glitch', 'virus']",4,4,"[' wire', ' insect', ' glitch', ' virus']",2,2,"['wire', 'insect', 'glitch', 'a']"
486,p,A bug that is covertly planted is,a wire.,an insect.,a glitch.,a virus.,1,2,2,"['wire', 'insect', 'glitch', 'virus']",4,4,"[' wire', ' insect', ' glitch', ' virus']",2,2,"['a', 'insect', 'glitch', 'a']"
487,p,A bug that is in an app is,a wire.,a virus.,an insect.,a glitch.,4,2,2,"['wire', 'virus', 'insect', 'glitch']",4,4,"[' wire', ' virus', ' insect', ' glitch']",3,3,"['wire', 'a', 'insect', 'a']"
488,o,We got our dog kiwi from the,Pet store.,New Zealand,Produce isle.,Grocery store.,1,2,2,"['store', 'zealand', 'isle', 'store']",4,1,"[' Pet', ' New', ' Produ', ' Gro']",2,2,"['store', 'Zealand', 'Produce', 'Grocery']"
489,o,We got our dog Tomato from,The Grocery store.,New Zealand,The produce isle.,The Pet store.,4,2,2,"['store', 'zealand', 'isle', 'store']",1,2,"[' Gro', ' New', ' produce', ' Pet']",2,2,"['Grocery', 'Zealand', 'isle', 'store']"
490,o,We got a kiwi for our dog from,The produce isle.,The Pet store.,New Zealand,The Grocery store.,1,3,3,"['isle', 'store', 'zealand', 'store']",3,3,"[' produce', ' Pet', ' New', ' Gro']",3,3,"['isle', 'store', 'Zealand', 'Grocery']"
491,o,We got a pineapple for our dog from,New Zealand.,The Pet store.,The Boat.,The produce isle.,4,3,3,"['zealand', 'store', 'boat', 'isle']",1,1,"[' New', ' Pet', ' Boat', ' produce']",1,1,"['Zealand', 'store', 'Boat', 'isle']"
492,o,I used a telescope to see,a lens.,something far away.,under the planet’s surface.,something that is close.,2,4,2,"['lens', 'away', 'planet ’ s', 'close']",2,2,"[' lens', ' something', '�', ' something']",2,2,"['a', 'something', 'planet’s', 'close']"
493,o,I used a telescope with,under the planet’s surface.,something that is close.,something far away.,a lens.,4,2,4,"['planet ’ s', 'close', 'away', 'lens']",4,4,"['�', ' something', ' far', ' lens']",3,3,"['planet’s', 'something', 'something', 'a']"
494,o,I used a telescope by looking through,something far away.,something that is close.,a lens.,under the planet’s surface.,3,2,3,"['away', 'close', 'lens', 'planet ’ s']",3,3,"[' far', ' something', ' lens', '�']",1,2,"['something', 'close', 'a', 'planet’s']"
495,o,I broke my arm when,caught a ball.,I held her hand.,I fell off a roof.,I touched my fingers to my toes.,3,4,3,"['ball', 'hand', 'roof', 'toes']",3,3,"[' caught', ' held', ' roof', ' touched']",2,2,"['a', 'her', 'a', 'toes']"
496,o,I crashed my car and broke my arm so I called,a doctor.,a friend.,a lawyer.,a mechanic.,1,2,2,"['doctor', 'friend', 'lawyer', 'mechanic']",1,1,"[' a', ' a', ' lawyer', ' mechanic']",2,2,"['a', 'a', 'a', 'a']"
497,o,I crashed my car and broke my mirror so I called,a mechanic.,a doctor.,a lawyer.,a friend.,1,4,4,"['mechanic', 'doctor', 'lawyer', 'friend']",4,4,"[' mechanic', ' doctor', ' lawyer', ' a']",4,4,"['a', 'a', 'a', 'a']"
498,o,"Lee has just finished a race, he",can't stop crying.,eats his hands.,runs across the sea.,is out of breath.,4,3,3,"['crying', 'hands', 'sea', 'breath']",4,4,"[' crying', ' eats', ' sea', ' out']",4,4,"['cant', 'eats', 'sea', 'breath']"
499,o,"Lee finishes a race, he",holds a party to celebrate his loss.,thinks it's a good experience.,runs across the sea.,eats his hands for some energy.,2,1,3,"['loss', 'experience', 'sea', 'energy']",2,2,"[' party', ' experience', ' sea', ' hands']",3,3,"['a', 'a', 'sea', 'eats']"
500,o,The juggler knew that polyamory was not for them. The juggler,could juggle chainsaws.,could no longer handle three lovers.,juggled frequently at a local circus.,was also an acrobat.,2,2,2,"['chainsaws', 'lovers', 'juggled', 'acrobat']",4,4,"[' chains', ' three', ' jugg', ' ac']",2,2,"['juggle', 'lovers', 'juggled', 'acrobat']"
501,o,"Bob fails a math test, he",holds a party to celebrate his success.,is upset about the results.,thinks his physics teacher should be responsible for it.,eats his fingers.,2,1,2,"['success', 'results', 'it', 'fingers']",2,2,"[' holds', ' upset', ' physics', ' eats']",2,2,"['a', 'upset', 'physics', 'eats']"
502,o,"Bob fails a math test, he",thinks it is because his biology teacher doesn't teach well.,celebrate his success with his classmates and teachers.,is upset about it.,eats his fingers.,3,2,2,"['doesnt', 'teachers', 'it', 'fingers']",3,3,"[' biology', ' celebrate', ' upset', ' eats']",3,3,"['doesnt', 'his', 'upset', 'eats']"
503,o,The juggler knew that juggling was not for him. The juggler,kept juggling frequently at a local circus.,had three lovers.,is the best at juggling in the world.,quit his job and did something else.,4,3,4,"['juggling', 'lovers', 'juggling', 'else']",3,3,"[' frequently', ' lovers', ' is', ' quit']",4,4,"['juggling', 'lovers', 'juggling', 'quit']"
504,o,The juggler hated juggling. The juggler,kept juggling frequently at a local circus.,is the best at juggling in the world.,had three lovers.,quit his job and did something else.,4,4,4,"['juggling', 'juggling', 'lovers', 'else']",2,2,"[' frequently', ' is', ' lovers', ' quit']",4,4,"['juggling', 'juggling', 'lovers', 'quit']"
505,o,Tom knew that juggling was not for him. Tom,juggled frequently at a local circus.,is the best at juggling in the world.,quit juggling and did something else.,had three lovers.,3,2,4,"['juggled', 'juggling', 'juggling', 'lovers']",2,2,"[' jugg', ' is', ' quit', ' lovers']",2,4,"['juggled', 'juggling', 'juggling', 'lovers']"
506,o,The boy loves playing basketball. He,didn’t expect to sprain his ankle last Friday.,got excited and aced the machine learning exam on Friday.,plays video games from morning to night and loves it.,becomes very good at playing the piano.,1,3,4,"['didn ’ t', 'aced', 'it', 'piano']",4,3,"['�', 'ced', ' morning', ' becomes']",3,3,"['sprain', 'aced', 'video', 'becomes']"
507,o,John is polyamorous. John,thinks love is madness.,juggles multiple lovers.,loves only one person.,never cheats on his wife.,2,3,4,"['madness', 'juggles', 'person', 'cheats']",4,4,"[' madness', ' jugg', ' only', ' che']",3,3,"['madness', 'juggles', 'loves', 'cheats']"
508,n,John was not a polyamorous person. John,loves only one person.,cheats on his wife.,has many lovers.,juggled frequently at a local circus.,3,2,3,"['person', 'cheats', 'lovers', 'juggled']",2,3,"[' John', ' che', ' lovers', ' jugg']",1,3,"['loves', 'cheats', 'lovers', 'juggled']"
509,o,John was a polyamorous person. John,juggled frequently at a local circus.,loves only one person.,cheats on his wife.,has many lovers.,3,3,4,"['juggled', 'person', 'cheats', 'lovers']",3,4,"[' jugg', ' only', ' che', ' lovers']",2,4,"['juggled', 'loves', 'cheats', 'lovers']"
510,o,Soccer is a very fun sport. It consists of,kicking a ball among team players so to score goals without committing faults.,team players cheering for the crowds from the soccer field so crowds can score goals.,catching a ball with the hands and running with team players across a field scoring goals.,running naked across a field while kicking the referee towards the goal.,1,4,4,"['faults', 'goals', 'goals', 'referee']",3,3,"[' among', ' crowds', ' team', ' naked']",2,3,"['committing', 'crowds', 'a', 'referee']"
511,o,John was a good student. John,played hard.,studied hard.,never goes to class.,likes to play video games.,2,4,3,"['hard', 'hard', 'class', 'games']",4,1,"[' played', ' John', ' goes', ' John']",4,1,"['played', 'hard', 'goes', 'likes']"
512,n,John was not a good student. John,never goes to class.,studied hard.,likes to play video games.,played hard.,1,3,1,"['class', 'hard', 'games', 'hard']",1,4,"[' goes', ' John', ' likes', ' played']",1,4,"['goes', 'hard', 'likes', 'played']"
513,o,"The boy likes studying, but not with a group. He",is excited to meeting a group a people.,wants to focus.,likes dancing with his friends.,likes group sports.,2,3,3,"['people', 'focus', 'friends', 'sports']",3,2,"[' meeting', ' focus', ' dancing', ' group']",2,2,"['a', 'focus', 'likes', 'likes']"
514,o,John is a good student but Jack is not a good student. Jack,studies with fervor.,never goes to class.,aces all his exams.,studies hard.,2,2,2,"['fervor', 'class', 'exams', 'hard']",2,2,"[' ferv', ' never', 'ces', ' studies']",2,2,"['fervor', 'class', 'aces', 'studies']"
515,o,John is a good student but Jack is not a good student. John,aces all his exams.,never goes to class.,studies with fervor.,studies hard.,1,2,2,"['exams', 'class', 'fervor', 'hard']",2,2,"['ces', ' never', ' ferv', ' studies']",2,2,"['aces', 'never', 'fervor', 'studies']"
516,o,The boy likes mechanics. He,likes linear algebra.,takes train to school.,likes physics.,likes machine learning.,3,2,2,"['algebra', 'school', 'physics', 'learning']",3,3,"[' linear', ' train', ' physics', ' machine']",2,2,"['likes', 'train', 'physics', 'likes']"
517,n,"The boy likes reading, not writing. He",likes reading books.,wants to become a billionaire.,likes sleeping in the lab.,enjoys writing books.,1,3,3,"['books', 'billionaire', 'lab', 'books']",1,1,"[' books', ' billionaire', ' sleeping', ' books']",3,3,"['likes', 'billionaire', 'likes', 'enjoys']"
518,n,"The boy likes engineering, not mathematics. He",likes to build stuff.,enjoys mathematics.,likes to derive equations.,likes to solve math problems.,1,4,2,"['stuff', 'mathematics', 'equations', 'problems']",4,1,"[' build', ' mathematics', ' derive', ' solve']",4,1,"['likes', 'enjoys', 'derive', 'likes']"
519,n,"The boy likes chemistry, not mathematics. He",enjoys mathematics.,likes to perform experiments in lab.,likes to solve math problems.,likes to derive equations.,2,2,1,"['mathematics', 'lab', 'problems', 'equations']",3,3,"[' mathematics', ' perform', ' solve', ' derive']",3,3,"['enjoys', 'likes', 'likes', 'derive']"
520,n,"The boy likes programming, not art. He",like algorithm implementation.,enjoys art exhibition.,likes art history.,likes visiting art museums.,1,4,3,"['implementation', 'exhibition', 'history', 'museums']",3,3,"[' algorithm', ' exhibition', ' history', ' visiting']",4,3,"['algorithm', 'enjoys', 'likes', 'likes']"
521,o,The juggler knew that juggling was not for him. The juggler,juggled three lovers.,quit juggling and did something else.,juggled frequently at a local circus.,was the best at juggling in the world.,2,4,4,"['juggled', 'juggling', 'juggled', 'juggling']",4,4,"[' lovers', ' quit', ' jugg', ' in']",4,4,"['juggled', 'juggling', 'juggled', 'juggling']"
522,n,"The boys enjoys investing in stocks, not bonds. He",enjoys losing money.,enjoys winning in market.,enjoys investing in bond markets.,enjoys bankruptcy.,2,3,2,"['money', 'market', 'markets', 'bankruptcy']",3,3,"[' losing', ' market', ' bond', ' bankruptcy']",3,2,"['enjoys', 'enjoys', 'enjoys', 'bankruptcy']"
523,o,John knew that studying was not for him. John,finds his studies interesting.,studies day and night.,never goes to class.,studies all the time.,3,2,4,"['interesting', 'studies', 'class', 'studies']",3,3,"[' finds', ' studies', ' goes', ' studies']",1,1,"['finds', 'studies', 'goes', 'studies']"
524,n,"The boy enjoys staying at home, not traveling. He",enjoys traveling.,likes being alone.,enjoys going outside with friends.,likes visiting other people.,2,3,3,"['traveling', 'alone', 'friends', 'people']",2,2,"[' traveling', ' being', ' enjoys', ' visiting']",3,1,"['enjoys', 'likes', 'enjoys', 'likes']"
525,n,"The boy enjoys staying with his parents, not his friends. He",cherishes the time with his parents.,enjoys the time with his friends very much.,enjoys traveling and staying with his friends.,doesn’t like his parents very much.,1,3,3,"['cherishes', 'much', 'friends', 'doesn ’ t']",3,3,"[' cher', ' very', ' traveling', '�']",3,2,"['cherishes', 'enjoys', 'enjoys', 'doesn’t']"
526,n,"The boy loves his current girlfriend, not his ex-girlfriend. He",kisses his current girlfriend.,doesn’t love his current girlfriend.,doesn’t have any girlfriend.,loves his ex-girlfriend very much.,1,1,1,"['girlfriend', 'doesn ’ t', 'doesn ’ t', 'exgirlfriend']",4,4,"[' kisses', '�', '�', ' very']",2,3,"['kisses', 'doesn’t', 'doesn’t', 'exgirlfriend']"
